value,count
90504,473
95838,473
10016,472
23505,472
28405,472
29707,472
75904,472
76020,472
90255,472
91001,472
92307,472
08060,471
44109,471
11220,470
32708,470
48507,470
53208,470
60527,470
85051,470
90249,470
91773,470
08638,469
159XX,469
43204,469
11421,468
165XX,468
29710,468
45211,468
48336,468
73099,468
77081,468
78222,468
92374,468
95205,468
11763,467
12601,467
22030,467
32829,467
71301,467
30269,466
32904,466
544XX,466
75238,466
76710,466
32308,465
44313,465
92234,465
95757,465
95825,465
959XX,465
27103,464
77086,464
92057,464
11418,463
137XX,463
23323,463
234XX,463
53222,463
71203,463
72116,463
94112,463
95219,463
19403,462
32224,462
60056,462
79707,462
90068,462
10454,461
33904,461
35749,461
66062,461
11692,460
30117,460
33603,460
85006,460
90807,460
08816,459
48186,459
76053,459
78526,459
27597,458
39046,458
45239,458
46205,458
70601,458
78045,458
46203,457
78218,457
89145,457
92646,457
23229,456
73013,456
92544,456
06002,455
08104,455
11417,455
253XX,455
60657,455
75028,455
836XX,455
91701,455
92262,455
93308,455
02126,454
02909,454
33062,454
40214,454
48083,454
60202,454
85255,454
89118,454
95136,454
94608,453
95337,453
29621,452
85040,452
85297,452
92009,452
92801,452
20723,451
33611,451
77304,451
94115,451
355XX,450
46312,450
598XX,450
608XX,450
06513,449
29526,449
75159,449
75701,449
78259,449
92130,449
92410,449
07470,448
30068,448
60106,448
92881,448
15146,447
450XX,447
45237,447
48038,447
60804,447
78704,447
92707,447
95210,447
11756,446
31021,446
48213,446
744XX,446
98387,446
19446,445
34769,445
78541,445
78573,445
841XX,445
92660,445
92887,445
939XX,445
94520,445
717XX,444
93063,444
43612,443
78230,443
78628,443
29611,442
32174,442
36609,442
60073,442
60614,442
72032,442
